Project,Transaction Date,Price (S$),Area (sqft),PSF (S$),Purchase Price (S$),Purchase Date,Profit (S$),Annualized Return (%)
The Estuary,2024-07,1030000,926,1113,850000,2021-06,180000,6.6
The Estuary,2024-07,1030000,926,1113,697400,2010-03,332600,2.8
The Estuary,2024-07,1700000,1302,1305,1014000,2010-03,686000,3.7
Nine Residences,2025-08,1550000,1173,1321,1260000,2019-07,290000,3.5
Nine Residences,2025-07,972000,700,1389,891000,2015-04,81000,0.8
Nine Residences,2025-06,1000000,710,1408,940000,2015-04,60000,0.6
The Criterion,2024-04,1310000,1023,1281,,,, 
The Criterion,2024-03,1658000,1248,1329,,,, 
The Criterion,2024-03,1228000,1012,1214,,,, 
Signature at Yishun,2025-03,1618000,1184,1367,,,, 
Signature at Yishun,2025-03,1028000,775,1326,,,, 
Signature at Yishun,2025-03,1390000,1077,1291,,,, 
North Park Residences,2025-10,800000,431,1856,,,, 
North Park Residences,2025-10,1880000,969,1940,,,, 
North Park Residences,2025-09,1150000,624,1843,,,, 
North Park Residences,2025-09,2088000,1098,1902,,,, 
Yishun Emerald,2025-10,1650000,1399,1179,,,, 
Yishun Emerald,2025-04,1330000,1216,1093,,,, 
Yishun Sapphire,2025-08,2095000,2045,1024,,,, 
Yishun Sapphire,2025-08,1600000,1507,1062,,,, 
Yishun Sapphire,2025-07,1130000,1195,946,,,, 
Yishun Sapphire,2025-06,1293000,1216,1063,,,, 
Yishun Sapphire,2025-05,1268000,1184,1071,,,, 
